2022 1 골목상권 묘곡초등학교(고덕아이파크아파트)자동차수리, 73420751, 74, 26,0, 3, 5, 18,41, 33, 6
2022 1 골목상권 석촌고분역 3번자동차수리, 931049586, 79, 21,0, 2, 23, 26,21, 29, 6
2022 1 골목상권 방배역 2번(백석예술대학교)서적, 171677848, 41, 59,12, 23, 3, 19,36, 8, *
2022 1 골목상권 우면주공아파트육류판매, 110783888, 80, 20,0, 0, 4, 19,2, 75, *
2022 1 골목상권 신성초등학교일반의원, 563810612, 41, 59,0, 8, 9, 21,23, 38, 5
2022 1 골목상권 국악고교사거리치과의원, 12582763, 55, 45,0, 26, 7, 12,2, 52, *
2022 1 골목상권 구로창업지원센터화장품, 8669630, 36, 64,0, 0, 0, 36,64, 0, *
2022 1 골목상권 신서초등학교일반의류, 3165517, 0, 100,0, 0, 0, 0,67, 33, *
2022 1 골목상권 도신초등학교미용실, 38067492, 34, 67,0, 4, 6, 12,25, 53, 12
2022 1 골목상권 도신초등학교조명용품, 107611433, 95, 5,0, 0, 4, 1,6, 89, 5
2022 1 골목상권 도봉산입구일반의류, 47823686, 45, 55,0, 4, 7, 8,28, 53, 23
2022 1 골목상권 도봉산역 1번한식음식점, 3900955650, 68, 32,0, 5, 9, 12,26, 48, 59
2022 1 골목상권 도봉산입구커피-음료, 190280162, 48, 52,1, 14, 19, 17,29, 20, 12
2022 1 골목상권 도봉산입구청과상, 87070312, 41, 59,0, 2, 4, 25,28, 41, 7
2022 1 골목상권 당고개역 2번스포츠 강습, 11194444, 40, 60,0, 0, 0, 61,39, 0, *
2022 1 골목상권 방학중학교중식음식점, 45533376, 65, 35,1, 10, 12, 23,29, 26, 3
2022 1 골목상권 방학초등학교치킨전문점, 7901603, 54, 47,1, 9, 12, 31,23, 25, *
2022 1 골목상권 누원고등학교한식음식점, 263991348, 65, 35,0, 7, 13, 17,32, 30, 7
2022 1 골목상권 방학중학교시계및귀금속, 25178948, 65, 35,0, 0, 39, 0,46, 15, *
2022 1 골목상권 상계초등학교한식음식점, 547063683, 64, 36,1, 8, 16, 25,29, 21, 32
2022 1 골목상권 남구로역 2번가전제품, 3425915, 100, 0,0, 0, 30, 0,0, 70, *
2022 1 골목상권 도봉역 2번편의점, 974227088, 73, 27,1, 15, 28, 25,17, 14, 5
2022 1 골목상권 안암역 2번미용실, 216157678, 59, 41,0, 30, 27, 22,13, 9, 6
2022 1 골목상권 안암역 2번안경, 105153668, 24, 76,2, 43, 17, 13,19, 6, *
2022 1 골목상권 행당역 2번중식음식점, 22150458, 74, 26,0, 12, 11, 39,23, 15, *
2022 1 골목상권 신금호역 4번예술학원, 56689850, 74, 26,0, 2, 18, 78,2, 0, 7
2022 1 골목상권 장평중학교자동차수리, 1266796838, 77, 23,0, 0, 13, 13,49, 24, 23
2022 1 골목상권 신정롯데캐슬아파트분식전문점, 147617182, 52, 48,3, 13, 11, 37,28, 9, 8
2022 1 골목상권 덕성여대시반거리편의점, 965388125, 62, 38,1, 20, 20, 27,20, 12, 5
2022 1 골목상권 덕성여대시반거리일반교습학원, 149282215, 64, 36,0, 0, 0, 37,63, 0, 3
2022 1 골목상권 신한은행 방학동지점호프-간이주점, 110168292, 89, 11,0, 3, 6, 3,63, 25, 14
2022 1 골목상권 신한은행 방학동지점한식음식점, 442191989, 67, 33,0, 7, 16, 22,30, 25, 16
2022 1 골목상권 북한산우이역 2번호프-간이주점, 59541086, 77, 23,0, 4, 9, 14,44, 29, 3
2022 1 골목상권 수락산역 4번피부관리실, 6637958, 57, 43,0, 1, 33, 15,22, 29, 7
2022 1 골목상권 공릉역 2번일반의류, 50495181, 5, 95,1, 7, 5, 31,31, 26, 6
